row_type,app_id,kelompok,aplikasi,item_index,kategori,aktivitas_aturan,deskripsi,tanggal,selesai,bukti_catatan_singkat,tanggal_catatan_kelompok,catatan_kelompok,tanggal_catatan_dosen,catatan_dosen,exported_at
item,integrator,Kelompok 7,API Gateway / Integrator,4,Fitur,Rate limiting opsional,Pembatasan request diterapkan bila memungkinkan.,2026-06-02,FALSE,,,,,,2026-06-02T08:46:24.336Z
item,integrator,Kelompok 7,API Gateway / Integrator,5,Fitur,Biaya layanan integrasi,"Fee Gateway 0,5% dihitung untuk transaksi via API.",2026-06-02,FALSE,,,,,,2026-06-02T08:46:24.336Z
item,integrator,Kelompok 7,API Gateway / Integrator,6,Fitur,Dokumentasi route,Daftar route antar aplikasi jelas dan bisa diuji.,2026-06-02,FALSE,,,,,,2026-06-02T08:46:24.336Z
item,integrator,Kelompok 7,API Gateway / Integrator,7,Aturan,Fitur mengikuti pola Input-Proses-Output (IPO),"Setiap fitur memiliki input, proses, dan output yang eksplisit.",2026-06-02,FALSE,,,,,,2026-06-02T08:46:24.336Z
item,integrator,Kelompok 7,API Gateway / Integrator,8,Aturan,Endpoint API jelas dan konsisten,"Method, URL, request JSON, response JSON, dan status code terdokumentasi.",2026-06-02,FALSE,,,,,,2026-06-02T08:46:24.336Z
item,integrator,Kelompok 7,API Gateway / Integrator,9,Aturan,Validasi input diterapkan,"Validasi field wajib, tipe data, nominal, stok, user, dan status transaksi.",2026-06-02,FALSE,,,,,,2026-06-02T08:46:24.336Z
item,integrator,Kelompok 7,API Gateway / Integrator,10,Aturan,JWT/authentication diterapkan,Request antar aplikasi memiliki mekanisme token/otorisasi.,2026-06-02,FALSE,,,,,,2026-06-02T08:46:24.336Z
item,integrator,Kelompok 7,API Gateway / Integrator,11,Aturan,Logging request dan transaksi tersedia,"Log minimal mencatat waktu, endpoint, user/app, status, dan error.",2026-06-02,FALSE,,,,,,2026-06-02T08:46:24.336Z
item,integrator,Kelompok 7,API Gateway / Integrator,12,Aturan,Komunikasi antar aplikasi melalui Gateway,Tidak ada integrasi langsung yang melewati API Gateway/Integrator.,2026-06-02,FALSE,,,,,,2026-06-02T08:46:24.336Z
item,integrator,Kelompok 7,API Gateway / Integrator,13,Aturan,Tidak mengubah saldo di luar SmartBank,Aplikasi non-bank hanya mengirim payment request dan menerima status.,2026-06-02,FALSE,,,,,,2026-06-02T08:46:24.336Z
item,integrator,Kelompok 7,API Gateway / Integrator,14,Dokumentasi,Dokumen desain aplikasi selesai,"Deskripsi aplikasi, use case, arsitektur, API, database, dan mekanisme transaksi tersedia.",2026-06-02,FALSE,,,,,,2026-06-02T08:46:24.336Z
item,integrator,Kelompok 7,API Gateway / Integrator,15,Dokumentasi,Demo integrasi disiapkan,Skenario demo menunjukkan transaksi dari aplikasi ke Gateway sampai SmartBank/ledger.,2026-06-02,FALSE,,,,,,2026-06-02T08:46:24.336Z
item,integrator,Kelompok 7,API Gateway / Integrator,16,Aturan,Semua komunikasi wajib melalui Gateway,Gateway menjadi pintu masuk integrasi.,2026-06-02,FALSE,,,,,,2026-06-02T08:46:24.336Z
item,integrator,Kelompok 7,API Gateway / Integrator,17,Aturan,Tidak menjalankan bisnis logic transaksi,"Gateway hanya validasi, routing, logging, dan standardisasi.",2026-06-02,FALSE,,,,,,2026-06-02T08:46:24.336Z
item,integrator,Kelompok 7,API Gateway / Integrator,18,Aturan Keuangan,"Fee Gateway 0,5%",Biaya infrastruktur dihitung untuk request transaksi.,2026-06-02,FALSE,,,,,,2026-06-02T08:46:24.336Z
catatan_kelompok,integrator,Kelompok 7,API Gateway / Integrator,,,,,,,,2026-06-02,,,,2026-06-02T08:46:24.336Z
catatan_dosen,integrator,Kelompok 7,API Gateway / Integrator,,,,,,,,,,2026-06-02,,2026-06-02T08:46:24.336Z
